index,actual,predicted,confidence,top_tokens,attention_weights
33,1,0,0.999851,▁is | ▁the | ▁the | ▁the | ▁is | ▁I | ▁I | ▁has | ▁the | ▁the | ▁the | ▁a | ▁want | ▁are | ▁the,0.01112 | 0.01076 | 0.01060 | 0.01054 | 0.01052 | 0.01005 | 0.01002 | 0.01000 | 0.00974 | 0.00966 | 0.00964 | 0.00964 | 0.00964 | 0.00951 | 0.00951
30,1,0,0.9998,▁can | ▁what | ▁can | ▁as | ▁I | ▁you | ▁is | ▁the | ▁is | ▁the | ▁I | ▁do | ▁she | ▁the | ▁that,0.01039 | 0.01022 | 0.00985 | 0.00968 | 0.00921 | 0.00908 | 0.00900 | 0.00888 | 0.00869 | 0.00865 | 0.00852 | 0.00849 | 0.00846 | 0.00844 | 0.00837
71,1,0,0.999746,▁has | ▁is | ▁is | ▁is | ▁the | ▁is | ▁. | ▁a | ▁his | ▁face | ▁the | s | ▁and | ▁and | ▁on,0.02105 | 0.02023 | 0.01987 | 0.01977 | 0.01973 | 0.01948 | 0.01874 | 0.01842 | 0.01834 | 0.01830 | 0.01799 | 0.01784 | 0.01744 | 0.01743 | 0.01697
29,0,1,0.999589,▁there | ▁and | ▁and | ▁do | ▁something | ▁some | ▁he | ▁and | ▁him | ▁boy | ▁and | ▁that | ▁what | ▁then | ▁is,0.01285 | 0.01234 | 0.01218 | 0.01215 | 0.01211 | 0.01202 | 0.01198 | 0.01195 | 0.01193 | 0.01193 | 0.01190 | 0.01189 | 0.01187 | 0.01185 | 0.01182
50,1,0,0.999427,▁everything | ▁and | ▁don | ▁and | ▁is | ▁is | ▁and | ▁it | ▁hundred | ▁the | ▁also | ▁and | ▁is | ▁. | ▁needs,0.01461 | 0.01385 | 0.01330 | 0.01251 | 0.01186 | 0.01175 | 0.01170 | 0.01165 | 0.01163 | 0.01163 | 0.01146 | 0.01145 | 0.01135 | 0.01125 | 0.01107
7,0,1,0.999319,▁and | ▁got | ▁and | ▁and | ▁and | ▁there | ▁her | ▁and | ▁two | ▁in | ▁and | ▁is | ▁hand | ▁there | ▁what,0.00546 | 0.00542 | 0.00537 | 0.00537 | 0.00529 | 0.00522 | 0.00514 | 0.00505 | 0.00499 | 0.00496 | 0.00496 | 0.00492 | 0.00490 | 0.00489 | 0.00488
39,1,0,0.999277,▁the | ▁is | ▁is | ▁is | ▁the | ▁is | ▁the | ▁is | ▁his | ▁the | ▁the | ▁a | ▁her | ▁. | ▁on,0.03020 | 0.02996 | 0.02964 | 0.02959 | 0.02872 | 0.02864 | 0.02760 | 0.02623 | 0.02530 | 0.02507 | 0.02491 | 0.02286 | 0.02283 | 0.02274 | 0.02243
36,1,0,0.999061,▁that | ▁is | ▁is | ▁is | ▁the | s | ▁a | s | s | ▁the | ▁for | s | ▁a | ▁the | ▁to,0.01533 | 0.01454 | 0.01382 | 0.01380 | 0.01354 | 0.01323 | 0.01291 | 0.01255 | 0.01244 | 0.01243 | 0.01228 | 0.01214 | 0.01205 | 0.01187 | 0.01184
19,1,0,0.997476,▁a | ▁from | ▁the | ▁is | ▁is | ▁or | ▁is | ▁the | ▁that | ▁the | ▁he | ▁is | ▁that | ▁obviously | ▁is,0.01406 | 0.01392 | 0.01357 | 0.01332 | 0.01313 | 0.01309 | 0.01295 | 0.01289 | 0.01261 | 0.01261 | 0.01257 | 0.01228 | 0.01211 | 0.01202 | 0.01192
53,1,0,0.996815,▁is | ▁has | ▁there | ▁has | ▁a | ▁is | ▁is | ▁a | ▁is | ▁is | ▁has | ▁from | ▁I | ▁the | ▁the,0.01001 | 0.00987 | 0.00907 | 0.00900 | 0.00899 | 0.00853 | 0.00839 | 0.00828 | 0.00817 | 0.00813 | 0.00811 | 0.00810 | 0.00803 | 0.00802 | 0.00794
